"Area","Boro","AreaType","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01"
"Rego Park","Queens","Neighborhood","181000","","273780","","248645","313000","177500","194000","195480","205000","","231672.5","216000","190632","","360000","","3e+05","119000","166065","","","228702","223401.5","246500","155000","595000","191000","130000","167500","355000","160000","184950","272000","227500","460000","150000","344201","118412.5","175000","319000","252000","453200","510000","363225","162816","620000","165000","243750","215000","238487","240000","248875","335658.5","576315","271037","302099","306735","231771","430150","230112","299130","289000","218000","244000","276480","450146","237320.5","333300","402800","618000","292500","279442.5","297376","261000","190300","298086","296855","392500","320000","270932","340000","230000","346500","279510","240000","210000","348500","3e+05","260000","262000","365000"
"Richmond Hill","Queens","Neighborhood","","","","","","","","","","","","","","","","","","","555000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","375000","","","","","660000","402000","","","442500","260000","295000","","","","","288990","","","","","","","","","","","","","","471740","","","","390000","","","490000","434000"
"Ridgewood","Queens","Neighborhood","","","","","","","395000","","","","","","395000","","","","","","","","","","","","","","","","","","","","323973","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","350000","","","","","774000","","405600","","471510","","","","","","","","","","","","645000","",""
"Riverdale","Bronx","Neighborhood","280000","280000","430000","260000","356000","357500","272500","226000","291000","290000","322000","265000","275000","271000","233500","290000","417000","296500","351250","235000","274000","358500","230000","237500","218000","345000","258500","240000","230000","322750","276500","258000","255000","255000","275000","248000","190550","290750","196000","208000","205000","250000","260000","287000","281250","192500","230000","252000","259000","255250","242500","227500","264000","229500","270000","285000","337000","277500","240000","200500","253750","256250","2e+05","282500","235000","393750","310000","205000","239500","250000","262500","245000","315500","260000","300641.5","403865","304500","256820","260000","270000","235000","233500","3e+05","250000","240000","253250","235000","275000","255000","210000","287500","281000"
"Rockaway All","Queens","Neighborhood","","455000","","","","","","","","320000","","","","317500","","","","","322450","","","170980","","","","173250","","","120000","","435000","","","460000","","","420060","","","","","6e+05","","","","","","139000","","","","265000","","","380000","","375000","","249100","","","725000","138411","545000","","","","850000","210000","3e+05","175000","125000","","","230400","115000","508708.5","466440","642500","727336","390000","151500","1065000","187500","","402000","520000","537500","575000","620230","333000","750000"
"Roosevelt Island","Manhattan","Neighborhood","","","","","","","","660000","640000","685000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","729000","1380000","9e+05","563750","665000","","","","645000","","","","","","",""
"Saint George","Staten Island","Neighborhood","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","370617","","","","","","","354900","","","","","","","","","","","","","","","","","","","552381.5","491790","413205","257500","","339690","","197500","","","740776.5","","","","","","","","","",""
"Sheepshead Bay","Brooklyn","Neighborhood","376050","184679","152100","231374","4e+05","3e+05","337500","195000","390000","230000","262000","320000","440000","265000","195000","204000","178500","5e+05","3e+05","415000","161000","377500","350000","170000","245000","450000","252320","381500","4e+05","250000","4e+05","302500","187500","411000","178500","234000","307205","224425","211000","179000","387500","245000","353500","185000","223000","205000","214110","170500","215000","170000","190000","213500","195000","235755","313437.5","245895","334620","175000","175000","260000","215000","176000","174000","225000","2e+05","377450","178000","210000","225000","194500","202000","210000","195000","265000","214000","208500","241200","205000","193000","235000","327015","198445","355000","420000","255000","232500","305000","343135","443417.5","240000","487000","330000"
"Soho","Manhattan","Neighborhood","","2439250","2472500","2699692.5","2270188","","","2651900","2525000","1450000","1680000","2080750","1750000","2036500","2083200","2600000","1972500","1960131","2281890.5","1512500","1925000","1895000","1612495","1912500","2840000","3345000","1930000","2015750","1230000","2174809","1335000","1626500","3163962.5","1417500","1950000","2837500","849000","1700000","1582500","1230000","3075000","2367500","","2537500","3885587.5","2375000","3283856","2505000","3170000","2775000","2643500","4050000","2675000","1610000","2965000","2325500","3750000","1755695","2750000","3150000","2472500","1950000","3100000","4425000","3050000","3600000","2600000","2375000","1060000","1230000","1640000","5447500","2180000","1490000","4975000","9e+06","2480000","3375000","1622500","2600000","2450000","4354000","2100000","2726873","6225443.5","","2675000","3975000","3414192","2050000","3225500","2100000"
"South Jamaica","Queens","Neighborhood","","","","","","158750","260000","","","180500","","210000","185000","283250","","","308800","405000","290000","","","","255000","","299500","299900","","","275000","","","","270000","","278000","","109000","","3e+05","","262500","","","","","280000","","","227000","","390000","360000","","","170000","","","","384375","235000","","","","","438144","","340000","","291500","375000","397500","363000","285000","335000","374500","390000","","355000","334500","","","380000","369000","560000","407000","429500","370000","407500","","395000","430000",""
"Sunnyside","Queens","Neighborhood","","","","223310","387500","","138788","","333555","353513","","","","","210000","415000","","","590000","","","243434","","","220000","","291000","245411.5","125537","122500","228254","","152000","","164500","225000","229666","236000","","274000","142000","345000","545000","","298000","285000","347136","670000","2e+05","230500","280000","286000","300583","","340000","2e+05","285000","232000","275000","181319","249649","199000","370000","275000","243360","328500","283000","234500","255000","213000","277000","162500","315620","273000","445014","519307","355000","299000","343637.5","335000","286500","272000","266670","346250","280000","296137.5","254500","330000","","340134","675000","331500"
"Sunset Park","Brooklyn","Neighborhood","","","334530","374845","365345","190000","446972","269000","321438","227035","","378128","286962","","328500","294565","649790","222500","660000","","","340000","","","180000","310000","261820","266250","298100","115000","440000","","179000","211500","335500","","227500","","301320","260500","","270000","","339500","265000","278850","","280000","233220","","297500","325000","265000","301000","331000","170000","359000","200250","246500","","390000","235000","","","5e+05","","","","370000","","","","380000","","","460000","575786","","430000","","","","","","625000","","","","","","594000",""
"Sutton Place","Manhattan","Neighborhood","512500","857500","1100000","","854250","650000","1100000","882500","612750","1075000","825000","670000","711250","995000","962500","1100000","927500","987500","851250","775000","850000","975000","1110000","633125","675500","1190000","895000","950000","795000","755000","810000","874327.5","542500","705000","757500","808304.5","832500","730500","765000","767500","870000","830000","6e+05","1200000","750000","710000","1007510","702500","881944","770000","885000","880000","1087000","960000","968750","1160000","660000","982500","1280000","1020000","1100000","1112500","950000","1020000","672500","1085000","1140000","790000","702500","1275000","1025000","999000","1580000","1175000","722500","1124500","1325000","770000","755000","810000","756500","862500","1100000","1440000","685000","663500","780000","780000","729000","796250","765000","890000"
"Throgs Neck","Bronx","Neighborhood","","","","","","","","291500","","453000","","430000","","","","","","","","","","","","","","","","","298000","","","","","","","263600","","","350000","","","382800","","350000","","194000","435000","","","","","","405000","","","","","580000","","","","366500","380000","","","505986","","395000","414456","575000","","","","439000","379000","","","341250","","387500","","","","","3e+05","455000","","","357000","479000","222500",""
"Tribeca","Manhattan","Neighborhood","2473664.5","3500000","1525046.5","2492500","1367500","1753500","1640000","1765000","1935000","2166103","2720000","1904837.5","1591250","1850000","2612498.5","2322500","1594143.5","2325000","1810000","2250000","1881250","1970000","2341975","2412500","2341975","1925000","2125000","1875495","2220356.5","2312500","2100000","2987500","2100000","2680000","1900000","2275000","2425000","2189237.5","2775000","2774637.5","2700000","1470000","1921100","2425000","2069444","2832500","1996000","2367431","2797641.5","2818006.5","2576172","3e+06","3027500","2685000","2220000","2550000","2925000","2775000","2250000","3052204.5","2155750","2178274","2215000","3e+06","2747500","2750000","2950000","2730000","2507440","2571081","4135131","2026317","3235924","3595000","3500000","3150000","3615129.5","2600000","3900000","2925000","3822500","4280524","3163750","6e+06","3159120","5724750","3662500","4922968.5","3973226.5","3150000","3139190.5","3718172"
"Turtle Bay","Manhattan","Neighborhood","645000","615000","655000","622500","660000","730000","6e+05","832500","6e+05","8e+05","630000","640000","585000","665000","775551","618000","832500","796000","704500","782436.5","760000","752026","696205","620000","6e+05","785000","675000","814600","729500","680000","625000","665000","705000","630000","650000","672500","567500","662500","738750","732000","820000","567500","1025000","520000","680000","755000","825000","660000","609000","760000","927000","1015000","677500","885000","8e+05","639500","794503.5","7e+05","675000","731000","652500","772500","727500","729997","885000","840000","630000","727000","623000","770000","685000","825000","739000","940000","780000","880000","757500","1100000","997000","715000","739000","746752.5","887000","720000","709137.5","739000","862500","707500","585000","820000","892500","1140429"
"Upper East Side","Manhattan","Neighborhood","1250000","1024500","1255000","1162500","777500","1030000","937500","870000","873000","845000","1075000","840000","1175000","739500","1145500","860000","1225000","1400000","975000","925000","1200000","1477750","822500","1010000","1100000","1210950","860000","1225000","1200000","1016000","950000","820000","680000","847000","1400000","1036500","1285000","1415000","7e+05","1210000","970000","1045000","975000","780000","940000","940000","825000","865000","982500","824200","1080000","905575.5","1035000","882500","928644","894946.5","1496000","1583378","1202500","1112500","875000","1100000","1092249.5","987000","1350000","870000","1340500","1300000","649000","837500","960000","1037500","1050000","1112500","1500000","928000","1095000","965000","1150500","8e+05","1299000","1067500","885000","1212000","1275000","950000","1360000","992500","1050000","780000","1004995","1250000"
"Upper West Side","Manhattan","Neighborhood","890000","888500","650000","865000","9e+05","928374","9e+05","927000","872500","919500","959047","1030000","755000","813603.5","880000","825000","990000","989999.5","799500","999250","908750","958668","985000","898030","825000","810000","857756","975000","955000","1232500","1020000","1235000","1065500","850000","875000","1200000","850500","866500","890000","869000","955000","868000","855000","813375","895000","1024500","790000","875000","999500","1092674","950000","1050614","1060000","910505","998500","897011.5","967500","964217.5","1177500","1017231","1100000","1266000","932500","1191300","1125000","970000","1100000","989000","1097500","1050000","926000","1150000","825000","925000","1237500","1387500","1120075","1165000","980250","1027750","1043706","1186368.5","1100000","1080000","1317500","1050000","1090000","1169500","1362500","1325000","1020500","1009040.5"
"Wakefield","Bronx","Neighborhood","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","250000","","","","","","","","","","","","","","","","84000","","","","","","","337500","","367200","","","","390000","","","","","","","","","","","","","","","","","","","","","","","407500"
"Washington Heights","Manhattan","Neighborhood","","476580","","337500","4e+05","335000","405000","456250","442873","4e+05","362500","289209","407000","354500","375000","377500","413000","372000","410177","350000","362500","345000","350000","285000","317500","321000","333750","365000","356000","427573.5","376608","331000","365000","348742","327500","324500","366180","467500","366500","382769.5","366663","329500","369666.5","339000","420000","365000","292612","316018","342500","356500","403750","352000","320000","334531","407500","360000","432146.5","275000","3e+05","405000","466500","453765","453250","420500","395000","417905","433992","480750","435000","4e+05","491145","485000","495000","492930","495860","499900","540000","557500","500500","430000","360000","470115","555000","535000","420810","543745","480000","500458","542500","550500","460000","490000"
"West Village","Manhattan","Neighborhood","985000","","865000","925000","760000","525000","760000","1182439","2112500","1475000","925000","1397546.5","1527431","767500","830000","680191.5","980000","682250","1062150","865000","830000","910000","1032500","1030125","880000","896750","915000","888222.5","815000","1205000","842500","696250","895000","824389","870000","745000","1275000","807500","716432.5","910000","960606","990125","886000","702500","999000","772500","645000","999000","1622500","923500","1822500","1200000","1187000","795000","1062500","884500","1578287","943250","1537500","1115000","2736909","1009500","1066990","1500000","1522500","775000","829042.5","1140548.5","808500","992793","1097000","1462500","1600000","9e+05","815000","1200000","1987500","882500","1549000","2987174.5","2573750","1725000","2285000","2750000","1280000","1423000","1180000","1270000","1387500","1247500","667500","940000"
"Whitestone","Queens","Neighborhood","","","","603000","","","","312500","","264500","","","417500","","543500","660000","272000","","555000","715000","","652000","","","","1458500","420000","630000","","245000","332500","","296500","","465000","8e+05","","1400000","485000","","255000","","","","","","522000","","","487500","","","","740000","","","685000","899000","","","255000","331500","","665800","565000","1290000","539000","639999","1075000","585000","6e+05","","410000","265000","345000","325000","450000","413750","336000","975000","775000","858000","637500","","1002500","620000","225000","657283","1250000","807000","778500","316000"
"Williamsbridge","Bronx","Neighborhood","","","","","","","","","","","","","","","3e+05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","179500","2e+05","","","","","","","","","","","","","","","","","","","","","370000","","","","","","","","","","","","","","","","","","","","","","","",""
"Williamsburg","Brooklyn","Neighborhood","590000","560037","559327","560037","584000","663500","602500","717500","562473","636406","555000","552936.5","661862","589566","751752.5","517500","547000","539000","645000","540000","577650.5","585000","607929","601316","572750","503465","575311","550873","625000","527887.5","702592","505795","499000","550000","530000","521852.5","598221","570220","668102.5","705647","722500","715000","739999","695000","649000","865000","741000","738964","693000","745000","765000","709905.5","841982.5","850000","850000","842000","940000","920000","877500","923500","986442.5","1262500","868050","925000","870000","1125000","857500","1182000","949000","925000","1050000","834290.5","912500","897587","1202500","875000","1223678","963500","994500","1022500","992284.5","907900","1062404.5","935000","822345.5","1100000","999999","1143500","875000","992000","1015658","1145000"
"Windsor Terrace","Brooklyn","Neighborhood","","","","","472500","","","","390000","","","","","","","392500","","","430025","","","625000","","466500","","","","485000","487000","465000","357500","","","","","","","","","599000","625000","427500","","614500","","430000","","470000","455000","894500","","455000","314500","5e+05","","380000","440000","","560000","","","","","490000","525000","455250","561000","","530000","760000","340000","","771399","","","522500","675000","640500","","","","","","","","","","605000","","","844500",""
"Woodhaven","Queens","Neighborhood","","","","","","","","","","","","","","","","","","","","","","","","","","","","250000","240000","","","391000","","","","","","","344500","","","","","","","","","","","","","115000","379000","127000","","","275000","124888","","","295000","","266000","","370000","","","","172000","395000","","","190000","205000","","370000","","","590000","418000","495000","","120000","290000","140000","175000","","459000","468750","420000","","550000"
"Woodside","Queens","Neighborhood","","","","","232550","295000","","","","","","","","178000","385500","362000","","184000","86000","173000","610000","6e+05","","155000","375000","163250","190000","263000","","181250","215000","","275000","145000","235500","225000","239599","157500","152000","271500","175500","175000","180500","525000","164000","","185000","200500","153000","525000","150000","133500","188000","123000","181250","192000","161000","","185000","385320","","","195000","230000","281000","322000","283600","730000","193250","212500","265000","225000","","422500","192500","","210000","","475000","195000","270000","275000","265000","350000","240000","439000","591500","260000","321500","567500","297500","440000"
"Yorkville","Manhattan","Neighborhood","702152","6e+05","638500","662500","595000","632500","574500","632000","640000","760500","681000","640000","780000","652500","875000","647500","770000","905450","622500","620000","6e+05","705000","603500","605000","570000","589500","6e+05","770000","750000","795000","702500","650000","767500","629750","670320","584100","733750","770000","612500","662500","650000","658000","639000","585000","595000","595000","746626","657500","645000","625000","649000","723250","725000","670000","563500","725000","625000","527500","840000","709500","597500","650000","627500","651000","830000","785000","742500","760750","8e+05","772500","557500","715000","834000","820000","635503","825000","775000","940000","6e+05","862500","809281","974275","911000","1515000","896934","967212","775000","870750","835000","750000","916000","967499.5"
