"Area","Boro","AreaType","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01"
"Kew Gardens Hills","Queens","Neighborhood","","180000","","220109","182500","230553","170000","210000","510000","251759.5","198419","","327749.5","122000","337628","213000","676500","312500","245000","315000","424425.5","","213578","","270313","699000","191841","125000","201331.5","237500","132000","125000","125000","278500","190615","226870","331877.5","551000","250000","","155000","338500","120000","184590","110280","276000","262814","","133000","395973.5","216000","191000","162000","145000","","2e+05","122500","156750","545000","190000","183550","185000","154250","205000","200772","148000","208000","162500","207870","158000","153000","188900","225000","430500","","153000","161000","180000","162000","395500","182500","2e+05","155000","237000","202500","567750","225000","403000","322500","235000","204500","187500"
"Kingsbridge","Bronx","Neighborhood","","","","","","","","","135000","","","","","","","","","","196000","","175000","420000","","137000","","","","","","","","","","","185000","180000","","","","","","158000","","510000","1e+05","","","","193500","","","135000","159950","258000","565000","150000","122500","","265000","","","","","","153750","","","","","","","","123000","","","","","","","414447","589100","","","","","","","","","","",""
"Kips Bay","Manhattan","Neighborhood","","620000","","455000","450000","415000","513500","470000","520000","487500","470000","831500","392000","485000","515000","558000","641497","676118","765000","870603.5","828995","589244","601475","499000","497500","584111","592500","573250","542500","615000","477500","575000","476250","425000","680000","575000","560000","540000","562787","480250","520000","520000","445250","532500","485000","407750","580000","435000","510000","415000","587500","495202","592000","575000","508750","485000","636406","490000","581241.5","645000","540000","674515","501290","597000","525000","647500","485000","604500","527500","515000","662500","529000","625000","567600","621000","640000","695000","659000","625000","592500","480000","636000","515000","605000","687500","567500","740000","670000","740000","610000","7e+05","576543"
"Lenox Hill","Manhattan","Neighborhood","1345000","1175000","668500","1240000","1200000","710000","763375","1200000","865000","1167500","1125000","1110000","1229536","1169625","1280000","1150000","1316725.5","1075000","990000","895000","1256250","1125000","1400000","730000","1480000","906500","927500","1047500","1196443","1222500","950000","932500","980000","722500","1245000","792500","1500000","1341875","972500","1262500","947500","1002500","1048750","1202500","960000","1325000","750000","1155000","1615556","1550000","999999","999999","995000","847000","1055000","915000","1209500","1395000","1450000","1420000","1225000","1080000","1413500","1300000","1270000","1125000","1027000","1325000","1100000","1250000","1300000","1092500","2100000","1325000","1502500","1525625","1300000","1241500","1040000","930000","1150000","1117500","1212500","1428408","1479000","1040000","1600000","1370000","1499000","1743750","1300000","990000"
"Lincoln Square","Manhattan","Neighborhood","1018250","950000","967337","768600","7e+05","945000","1021900","952063","849000","855000","1018942.5","9e+05","881667","1100000","1095000","9e+05","895000","960000","975000","975000","985000","999000","712500","865000","915000","1272500","890000","950000","919425","900600","1175000","815000","1110000","1150000","770000","960000","1337500","1173337.5","915000","1350000","982422.5","960000","1200000","1298500","1258500","1065000","855000","747500","1481500","989000","1225000","952500","1100000","1255000","1002500","1024500","1237500","1300000","999900","925000","940000","1145000","1250000","1057500","1175000","1099500","1510000","949000","835000","1130046","1651987.5","1133000","817700","1029663.5","1250000","1400000","1050000","1070000","1593750","2050682","2488530","1892500","2600000","1070000","1121000","960258","1260000","950000","1218750","1330000","975000","1462500"
"Little Neck","Queens","Neighborhood","916425","","","","","721123","8e+05","712500","725000","2103500","740000","","1280500","","","","620000","788000","1310000","2e+05","752500","655000","775000","645000","638800","515000","580000","511944","790000","640000","730000","","","","890000","","590000","563500","815000","410000","640000","689000","","185000","","813000","","","690000","584000","","","","531500","","590000","875000","712500","575000","220000","425000","","","742500","840000","927500","508000","850000","932500","","491500","828000","485000","","940000","","555500","551000","1162500","712500","287000","1350000","","150000","782500","1134000","750000","857500","715000","305000","825000","402000"
"Long Island City","Queens","Neighborhood","580402","661115","674571.5","539672","840056","661862","632280.5","707683","545900","619000","541218","568000","666953","587655.5","680000","580000","628203","916425","607500","624250","549500","630000","453150","642500","512000","725000","615000","511912.5","688175","610000","625000","587336","448000","487127.5","620000","682500","655000","532500","675000","595000","550500","697500","532881","534581","560038","682272.5","517500","550906.5","652500","780000","815000","775000","797208","693195.5","6e+05","823550","682227","795000","607500","603199.5","661862","701000","675000","820000","920000","850000","717500","860000","760000","927000","575000","775000","930000","847000","9e+05","730000","658000","9e+05","1050000","715000","865000","845000","1147000","776980.5","775000","795000","760000","795000","1250000","918802.5","847500","847500"
"Lower East Side","Manhattan","Neighborhood","","","","620000","622500","","560000","471125","555000","535500","475000","650000","570000","525000","575000","480000","610950","1175000","","665000","738231","4e+05","545000","512500","770000","472000","445000","602500","492500","6e+05","485000","565000","721152","537000","576900","485000","627500","562500","625000","510000","450000","427500","447000","570000","514000","479500","480000","470000","520000","547000","612500","5e+05","552000","571747","675000","530000","616500","440000","585000","615000","587500","551500","7e+05","552500","520000","583457","680000","514500","710000","","590000","661500","535000","795000","742500","745000","882000","1242762.5","720000","","618750","752500","1100000","843750","","777500","1250000","790000","995000","801250","856500","755000"
"Manhattan Valley","Manhattan","Neighborhood","","","","525000","","557000","457500","443080","","","423000","546500","","717500","510000","","","1065000","","","560000","","539000","","497500","","","","","1350000","","","518150","","497500","","","","460000","580000","540000","","507000","","","479000","","","","","522500","785000","743500","550000","730000","995000","","843750","","","582500","","","549750","699000","913000","563000","907500","","972750","701250","699000","544750","537500","480250","1024929","710000","1300000","1150000","","782500","","580000","","","","621250","777250","","975000","744655",""
"Marine Park","Brooklyn","Neighborhood","","","472500","452000","450000","417000","448500","468000","477500","460000","445000","","657000","552000","480000","425000","470000","","464000","423500","501250","454500","","","390000","415000","471000","450000","493375","481500","","450000","425000","449000","414100","396000","408050","262500","475000","505000","448750","463000","445000","","","435000","428000","390000","","421250","530000","412500","433700","460000","519500","456500","499000","460000","537500","","450000","489750","450000","503750","545000","637500","530000","439500","539250","390000","635000","550000","582000","499500","455000","595000","612500","605000","580000","625000","580000","577500","","629500","730000","552500","572500","592500","660000","560000","557250","547500"
